distance;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;78.30632826816861;87.64796734623927;99.46724763957785;112.62102492532209;99.69628560183793;128.10220482778118;99.23873585928976;80.31275261817575;128.6928323718675;130.78155608093476;134.44140055858222;103.9103408939769;98.78328601209519;84.48114898371028;103.43345101350522;96.09414812530488;110.31373257227528;126.63746785245633;91.14288323117634;93.26346272832193;101.31438656056716;93.04920325689164;88.05207673504692;131.687069245691;121.5017201781105;103.67162174218069;96.09414812530488;89.68723224473376;106.0837016293693;119.56120554261082;124.04301747004386;113.66191912619567;102.01587317350378;100.1559449215093;98.32992642291843;82.18135245311242;100.3865687105195;81.05503922506719;100.84941064689724;132.29422515218823;89.89375028360132;110.31373257227528;132.59885205668874;109.80745473420666;114.71243373975977;131.3845370318381;107.06417494602071;83.90023551197255;110.56774616084073;89.27561841403075;101.5476778317758;103.19582744802683;80.31275261817575;94.99539535941216;88.4580493090837;130.18134247263782;103.43345101350522;106.32797494975146;94.34218330463797;84.28706562247159;133.82439032753845;114.97657598449999;122.06191555248;103.9103408939769;120.66624401638853;104.14960973171877;242.23986683485333;122.342981059681;82.37058710017779;114.44889832406156;97.2056094823455;90.30821407077885;85.45828998891848;101.5476778317758;92.19707638088428;106.81821031140409;95.21413622430518;92.19707638088428;126.63746785245633;100.61772354471226;161.97280010108508;89.48118865153393;103.43345101350522;86.24813396809573;129.58388350640496;142.071211385041;131.99029808444726;96.98229349236969;70.93247871421282;79.94416236366476;127.51428793112879;151.17353578131596;103.9103408939769;103.43345101350522;107.06417494602071;116.84268069149917;92.83543601596358;94.34218330463797;99.01074905214578;97.42943969022213
100;131.3845370318381;186.3689703891691;151.8705359171794;161.2294362682334;144.37707024389624;155.40403774715355;127.51428793112879;121.5017201781105;157.92629242245135;153.27419176407454;133.82439032753845;148.75912997493032;150.13402880772443;162.34576628801665;138.52189787423194;132.29422515218823;176.3601869479027;111.58966303523249;156.1205430194796;145.711468108377;142.3983512378432;145.0427346212984;149.44499826045774;140.1240946738786;160.489484056269;123.19006671368945;130.4811041541137;135.68396849198137;112.62102492532209;140.4467510041707;130.4811041541137;127.51428793112879;134.750971650153;121.78149575309698;125.76667700754922;147.73622505843724;153.27419176407454;112.1041579161951;113.40079711762655;135.0612555746781;122.06191555248;131.687069245691;132.59885205668874;145.37671684325215;110.06030254361242;135.37225397356013;122.06191555248;121.22258734750707;127.22134208574965;115.77265768219846;124.61492974015573;127.22134208574965;123.47372995481003;164.98068732334383;131.99029808444726;136.9380207974764;126.05627327270784;123.75804637224999;135.37225397356013;142.3983512378432;122.90705514830907;131.687069245691;124.04301747004386;119.01248701729637;131.99029808444726;116.0392412484498;135.68396849198137;121.5017201781105;113.40079711762655;126.63746785245633;130.78155608093476;120.94409578467344;125.47774604840528;131.99029808444726;136.30955248712056;114.1859683433024;137.5693867214618;116.30643866255794;113.40079711762655;114.44889832406156;104.62980153088488;117.651683036647;145.0427346212984;107.80547228788281;126.34653637584607;126.92906924156685;126.05627327270784;120.11245398749564;130.4811041541137;114.44889832406156;124.32864475568945;123.47372995481003;121.22258734750707;119.01248701729637;143.3842974641264;114.1859683433024;141.74482308927838;118.46628680064781;113.66191912619567;100.1559449215093
150;258.3534014046816;253.06045696699857;273.01545915549303;291.17615292023476;256.57689891684043;233.48747152374744;240.57416503357393;275.5387909079098;264.36439103562185;273.01545915549303;277.4465828783136;254.81261210362217;275.5387909079098;262.5465554823915;253.06045696699857;213.9470213365385;268.0379086046006;280.01086907053855;253.64316587639095;230.81774594583314;278.08544442808454;226.0889306955594;304.88309880366177;295.9020302120025;283.90180477109226;229.7584226260572;243.35673705438484;273.01545915549303;254.81261210362217;273.01545915549303;268.0379086046006;229.7584226260572;289.839818542273;305.58513696531435;282.598855549887;232.41589566874947;340.47047820534823;234.02511075636028;281.9496250833612;276.80918902161307;228.70396100307693;221.96693304379488;202.92337008812265;269.8937655172144;253.64316587639095;251.8990521439864;266.8077657227987;284.5555304183761;283.90180477109226;237.27704401627443;246.17149335836635;280.01086907053855;238.9199170137345;210.04639198313274;247.30649072036954;312.6950456395597;269.8937655172144;235.64546782369993;238.3710326635721;296.5833881427452;253.64316587639095;210.53005468358484;194.24658730556595;287.84680758938356;245.60594954833422;230.28747517530482;239.4700652508151;234.56398798235475;230.81774594583314;239.4700652508151;222.4780445427044;303.4838572720161;240.0214802850993;230.81774594583314;254.22721655872235;272.3882451720131;243.35673705438484;261.34161481541787;227.13133546963292;231.34923774277578;260.74121982026094;238.3710326635721;211.01483108851718;276.80918902161307;254.22721655872235;243.35673705438484;313.4150719573846;222.4780445427044;313.4150719573846;259.54456462613547;236.73193393193665;234.56398798235475;266.8077657227987;271.1381366980691;252.47908674801366;260.1422041467649;251.32035008653247;235.64546782369993;225.0513099716953;216.42161371608097
200;325.16359357324677;328.1689018548046;310.54487643917764;288.50961718568635;281.3018861310095;314.13675624167104;235.10410605239272;316.3117951143896;273.6441173913884;287.84680758938356;244.4787567115525;293.86733397819717;250.7429775143165;267.4221298318544;234.56398798235475;264.97312891521335;291.8466288236721;275.5387909079098;310.54487643917764;345.2015400495941;238.3710326635721;290.5072173393252;261.34161481541787;309.1196505402723;258.3534014046816;312.6950456395597;345.9964173501956;316.3117951143896;265.5832685032748;302.78664650003196;297.95081439736;280.01086907053855;254.81261210362217;281.9496250833612;263.7570516442754;276.80918902161307;261.34161481541787;302.78664650003196;311.2599516762814;399.0267353460573;322.18580733237013;262.5465554823915;287.18552070336415;290.5072173393252;300.0137840772717;329.6819561602209;335.032794319519;323.67127600466995;269.2737231785496;297.95081439736;261.94339230832657;281.9496250833612;295.2222376036896;253.06045696699857;300.0137840772717;242.7976597445259;326.6627916155961;317.04014952964735;311.97667347925545;359.79283969449995;289.839818542273;291.17615292023476;260.74121982026094;262.5465554823915;264.97312891521335;328.9245590016707;292.51864859645656;251.8990521439864;307.7009656247064;260.1422041467649;271.1381366980691;227.13133546963292;262.5465554823915;293.86733397819717;262.5465554823915;287.84680758938356;229.23058549940114;304.88309880366177;245.60594954833422;264.97312891521335;305.58513696531435;274.274223205303;273.6441173913884;280.01086907053855;274.274223205303;320.70715612377506;260.74121982026094;265.5832685032748;313.4150719573846;260.1422041467649;279.367584132936;333.4951826837323;297.95081439736;268.0379086046006;297.95081439736;283.90180477109226;293.19221579357423;241.12812241994263;270.5152355945282;326.6627916155961
250;268.6551052985083;346.79312497265164;287.18552070336415;315.58511398926566;295.9020302120025;266.8077657227987;271.1381366980691;308.4094923390225;367.31816993535824;313.4150719573846;247.87595027647916;275.5387909079098;297.2663150003028;327.41498072219457;319.23529109056983;372.422298162979;333.4951826837323;300.0137840772717;338.1293181963075;300.7046099258363;320.70715612377506;274.9057799304979;352.4216825925416;357.3188143038935;333.4951826837323;289.839818542273;329.6819561602209;335.80425658797634;363.11820705465465;349.1942719655453;323.67127600466995;344.4084888659446;304.18267347431294;323.67127600466995;266.8077657227987;309.8314439851943;335.80425658797634;290.5072173393252;347.59166713154747;309.1196505402723;342.040250112449;349.1942719655453;336.57749526173416;278.725777050505;308.4094923390225;331.96462781845474;288.50961718568635;311.97667347925545;286.52575302941904;274.9057799304979;315.58511398926566;317.7701810880355;289.839818542273;278.725777050505;300.7046099258363;333.4951826837323;355.6789224011468;294.5440067217022;322.9276875244099;307.7009656247064;293.86733397819717;306.994066649216;408.3107066643835;275.5387909079098;338.90791066626997;381.9647857759958;292.51864859645656;257.1677049508413;338.1293181963075;330.44109733708814;354.0465566776694;330.44109733708814;328.1689018548046;388.1641901202389;327.41498072219457;281.9496250833612;280.01086907053855;293.19221579357423;339.6882959598702;297.95081439736;377.59735161863443;309.8314439851943;348.39204805117305;366.4743089566345;315.58511398926566;311.2599516762814;339.6882959598702;284.5555304183761;306.994066649216;268.6551052985083;291.17615292023476;302.091037470114;379.3383005487472;299.3245453023246;298.63688995492015;302.091037470114;364.79239849526294;331.20198654813083;253.64316587639095;348.39204805117305
300;277.4465828783136;293.86733397819717;272.3882451720131;331.20198654813083;262.5465554823915;297.95081439736;289.839818542273;325.9123305559271;351.6120441636875;298.63688995492015;359.79283969449995;290.5072173393252;349.99834311843045;275.5387909079098;311.97667347925545;285.21076136507946;275.5387909079098;302.78664650003196;283.2495809650177;351.6120441636875;369.86142946290823;319.23529109056983;322.9276875244099;311.97667347925545;288.50961718568635;293.19221579357423;293.19221579357423;328.1689018548046;324.4165767067347;260.1422041467649;332.729025182434;305.58513696531435;277.4465828783136;354.0465566776694;291.17615292023476;327.41498072219457;272.3882451720131;277.4465828783136;296.5833881427452;301.3970265024886;319.97037728515147;326.6627916155961;311.97667347925545;273.6441173913884;365.6323866278597;271.76247212298546;310.54487643917764;311.2599516762814;266.8077657227987;319.23529109056983;386.382735332994;368.16397402805757;269.8937655172144;297.95081439736;287.84680758938356;297.95081439736;297.2663150003028;278.725777050505;290.5072173393252;293.86733397819717;347.59166713154747;310.54487643917764;318.50189365142256;369.86142946290823;319.97037728515147;278.725777050505;264.36439103562185;381.08727629145363;282.598855549887;314.86010231013057;333.4951826837323;322.18580733237013;289.1739529985368;291.17615292023476;328.1689018548046;317.04014952964735;306.28879167305405;291.17615292023476;362.2839948901666;369.86142946290823;325.16359357324677;309.1196505402723;266.8077657227987;296.5833881427452;311.97667347925545;325.9123305559271;311.2599516762814;342.82784807816876;322.18580733237013;267.4221298318544;368.16397402805757;284.5555304183761;280.6556352662915;318.50189365142256;321.44563150400245;299.3245453023246;289.1739529985368;319.23529109056983;383.7258711816188;302.091037470114
350;355.6789224011468;370.71308978460263;408.3107066643835;429.50286868328885;437.47887570316936;506.8567506262777;466.5794984838883;363.9543401153048;369.86142946290823;434.47066173409036;445.6029997500121;455.9706395660546;417.8106838685425;446.6290661734999;412.0844979880139;439.495914163152;452.8352716120527;407.3726711933644;401.78954053643093;443.5579332103361;392.65384433875624;407.3726711933644;474.1522252837146;457.02057900456253;501.06128578760917;462.3066523279195;451.7949473188917;446.6290661734999;460.184925440363;430.4918621878093;493.0587920210368;423.6164388784574;459.12771636833594;372.422298162979;434.47066173409036;437.47887570316936;455.9706395660546;367.31816993535824;426.54949972974595;477.4351888372844;506.8567506262777;457.02057900456253;420.703546485842;418.7727543984368;334.2631043753249;413.0333831330028;328.9245590016707;451.7949473188917;412.0844979880139;370.71308978460263;430.4918621878093;458.07293608299915;508.02386281723574;441.52225237307687;502.2150530686748;381.9647857759958;530.716733601557;512.7192480089664;434.47066173409036;341.25446154044994;403.64202988183786;436.473830534054;464.4381616414893;499.9101691219138;415.89316838956665;440.50791812415736;457.02057900456253;402.7147200282304;403.64202988183786;499.9101691219138;443.5579332103361;430.4918621878093;469.8100295384435;452.8352716120527;521.040836940329;503.3714770685424;439.495914163152;415.89316838956665;351.6120441636875;446.6290661734999;435.47109431252;454.9231122132933;400.866486512238;341.25446154044994;345.2015400495941;445.6029997500121;387.27243839056536;397.1954276004851;443.5579332103361;426.54949972974595;439.495914163152;413.0333831330028;398.11002847178173;419.73704023717846;421.67227825724734;462.3066523279195;349.99834311843045;403.64202988183786;424.5918780128764;385.4950762409936
400;442.5389222757411;401.78954053643093;428.5161472499453;375.0008979590133;458.07293608299915;491.92605994062694;389.05799523938344;429.50286868328885;416.85082355814023;383.7258711816188;418.7727543984368;396.28292789392685;363.9543401153048;363.11820705465465;343.61725960400435;429.50286868328885;529.4974877844472;395.3725245249812;387.27243839056536;387.27243839056536;459.12771636833594;410.1932624738291;427.53169266802;443.5579332103361;423.6164388784574;353.23318533291837;454.9231122132933;418.7727543984368;467.6538663798645;383.7258711816188;359.79283969449995;367.31816993535824;465.5075987945472;497.6158632929841;363.9543401153048;432.4766863495398;382.8443158551454;381.08727629145363;399.94555307269343;333.4951826837323;381.08727629145363;437.47887570316936;365.6323866278597;429.50286868328885;394.46421267761235;358.1415934100561;373.27985526137724;400.866486512238;427.53169266802;413.0333831330028;359.79283969449995;358.96626708608295;479.63644972442125;414.93771329682374;381.9647857759958;477.4351888372844;384.60945641884547;403.64202988183786;395.3725245249812;381.9647857759958;399.0267353460573;425.5695632393202;404.57147500272475;408.3107066643835;340.47047820534823;421.67227825724734;413.0333831330028;444.57929056743217;484.06946566773;404.57147500272475;448.6882924672728;412.0844979880139;404.57147500272475;380.2117827594916;424.5918780128764;359.79283969449995;329.6819561602209;410.1932624738291;403.64202988183786;390.8517845698973;394.46421267761235;404.57147500272475;412.0844979880139;377.59735161863443;424.5918780128764;437.47887570316936;363.9543401153048;396.28292789392685;383.7258711816188;396.28292789392685;459.12771636833594;372.422298162979;339.6882959598702;399.94555307269343;436.473830534054;358.1415934100561;392.65384433875624;469.8100295384435;450.75701302205556;534.3913418829819
450;378.46682503849723;503.3714770685424;415.89316838956665;365.6323866278597;494.1941323836063;460.184925440363;384.60945641884547;408.3107066643835;477.4351888372844;391.75177827041654;471.97613389477726;389.05799523938344;396.28292789392685;399.0267353460573;485.18410678467933;491.92605994062694;423.6164388784574;405.50306030765785;499.9101691219138;480.74088317037916;499.9101691219138;475.2440304965578;441.52225237307687;441.52225237307687;478.5345535564006;589.9444739518333;505.6923197087124;474.1522252837146;358.96626708608295;372.422298162979;398.11002847178173;440.50791812415736;459.12771636833594;470.8918362071546;476.3383497514306;504.5305639046976;407.3726711933644;468.7307081658843;439.495914163152;569.9384773473473;652.7723328823237;425.5695632393202;429.50286868328885;558.2620191428276;414.93771329682374;479.63644972442125;447.6574952657893;438.4862351365575;395.3725245249812;402.7147200282304;461.2445688917187;487.42109480377866;506.8567506262777;475.2440304965578;422.64324067598795;386.382735332994;411.13779277098024;432.4766863495398;502.2150530686748;457.02057900456253;476.3383497514306;521.040836940329;459.12771636833594;531.9387869114252;488.5434535396004;376.72987568964214;382.8443158551454;479.63644972442125;449.7214632308695;488.5434535396004;485.18410678467933;465.5075987945472;463.3711813673893;446.6290661734999;652.7723328823237;468.7307081658843;504.5305639046976;448.6882924672728;468.7307081658843;418.7727543984368;487.42109480377866;358.1415934100561;430.4918621878093;480.74088317037916;502.2150530686748;437.47887570316936;462.3066523279195;484.06946566773;487.42109480377866;477.4351888372844;475.2440304965578;475.2440304965578;497.6158632929841;458.07293608299915;494.1941323836063;399.0267353460573;427.53169266802;496.47266199286656;487.42109480377866;548.0839236257382
500;378.46682503849723;474.1522252837146;362.2839948901666;408.3107066643835;427.53169266802;426.54949972974595;416.85082355814023;434.47066173409036;475.2440304965578;365.6323866278597;417.8106838685425;471.97613389477726;471.97613389477726;379.3383005487472;375.8643926625708;377.59735161863443;448.6882924672728;447.6574952657893;437.47887570316936;481.84785973673024;424.5918780128764;468.7307081658843;480.74088317037916;448.6882924672728;499.9101691219138;454.9231122132933;386.382735332994;438.4862351365575;437.47887570316936;419.73704023717846;417.8106838685425;375.0008979590133;488.5434535396004;361.4516992088564;487.42109480377866;489.6683966714307;413.0333831330028;441.52225237307687;457.02057900456253;403.64202988183786;429.50286868328885;426.54949972974595;363.11820705465465;400.866486512238;442.5389222757411;425.5695632393202;415.89316838956665;447.6574952657893;566.0194380878718;457.02057900456253;427.53169266802;465.5075987945472;433.4725275064743;461.2445688917187;405.50306030765785;369.86142946290823;350.80426576336697;467.6538663798645;406.43679072472565;420.703546485842;508.02386281723574;461.2445688917187;458.07293608299915;429.50286868328885;504.5305639046976;397.1954276004851;425.5695632393202;441.52225237307687;421.67227825724734;445.6029997500121;439.495914163152;560.8359399099704;389.95385847623;436.473830534054;469.8100295384435;412.0844979880139;365.6323866278597;439.495914163152;466.5794984838883;415.89316838956665;436.473830534054;439.495914163152;452.8352716120527;486.301314526685;392.65384433875624;474.1522252837146;399.94555307269343;405.50306030765785;422.64324067598795;444.57929056743217;463.3711813673893;494.1941323836063;363.11820705465465;478.5345535564006;556.9794919704281;458.07293608299915;381.9647857759958;366.4743089566345;531.9387869114252;379.3383005487472
