distance;default;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;1;46.27000000000004;48.293000000000006;43.2355;53.35050000000001;35.14350000000002;65.48850000000004;65.48850000000004;49.30450000000002;37.16650000000004;43.2355;69.53450000000004;48.293000000000006;70.54600000000005;64.47700000000003;60.43100000000004;50.31600000000003;42.224000000000046;68.52300000000002;49.30450000000002;66.50000000000006;87.74150000000003;72.56900000000002;47.28150000000005;37.16650000000004;75.60350000000005;60.43100000000004;63.46550000000002;79.64950000000005;69.53450000000004;62.45400000000001;49.30450000000002;57.3965;72.56900000000002;56.38500000000005;63.46550000000002;87.74150000000003;54.36200000000002;40.20100000000002;55.373500000000035;98.86800000000005;61.44250000000005;61.44250000000005;58.408000000000015;80.66100000000006;35.14350000000002;62.45400000000001;69.53450000000004;77.62650000000002;64.47700000000003;45.258500000000026;18.95950000000002;47.28150000000005;66.50000000000006;56.38500000000005;35.14350000000002;38.178000000000054;72.56900000000002;78.63800000000003;94.82200000000006;42.224000000000046;44.247000000000014;50.31600000000003;45.258500000000026;65.48850000000004;70.54600000000005;46.27000000000004;67.51150000000001;67.51150000000001;76.61500000000001;58.408000000000015;6.8215000000000146;53.35050000000001;62.45400000000001;77.62650000000002;65.48850000000004;60.43100000000004;58.408000000000015;75.60350000000005;77.62650000000002;77.62650000000002;69.53450000000004;80.66100000000006;65.48850000000004;55.373500000000035;78.63800000000003;69.53450000000004;45.258500000000026;67.51150000000001;24.017000000000053;48.293000000000006;77.62650000000002;73.58050000000003;43.2355;48.293000000000006;69.53450000000004;60.43100000000004;62.45400000000001;74.59200000000004;48.293000000000006;51.32750000000004
100;1;50.31600000000003;145.39700000000005;51.32750000000004;107.97150000000005;100.89100000000002;66.50000000000006;108.98300000000006;136.29350000000005;101.90250000000003;95.83350000000002;56.38500000000005;91.78750000000002;137.30500000000006;78.63800000000003;94.82200000000006;115.05200000000002;117.07500000000005;89.76450000000006;63.46550000000002;77.62650000000002;80.66100000000006;75.60350000000005;81.67250000000001;81.67250000000001;96.84500000000003;108.98300000000006;98.86800000000005;133.25900000000001;113.02900000000005;102.91400000000004;118.08650000000006;130.22450000000003;102.91400000000004;94.82200000000006;74.59200000000004;41.212500000000034;79.64950000000005;34.132000000000005;80.66100000000006;64.47700000000003;101.90250000000003;104.93700000000001;107.97150000000005;66.50000000000006;97.85650000000004;85.7185;51.32750000000004;72.56900000000002;100.89100000000002;135.28200000000004;109.99450000000002;82.68400000000003;128.2015;100.89100000000002;115.05200000000002;86.73000000000002;108.98300000000006;97.85650000000004;85.7185;101.90250000000003;88.75300000000004;74.59200000000004;81.67250000000001;76.61500000000001;113.02900000000005;67.51150000000001;16.936500000000024;61.44250000000005;101.90250000000003;128.2015;96.84500000000003;107.97150000000005;96.84500000000003;88.75300000000004;73.58050000000003;57.3965;66.50000000000006;72.56900000000002;104.93700000000001;64.47700000000003;76.61500000000001;104.93700000000001;88.75300000000004;80.66100000000006;86.73000000000002;97.85650000000004;77.62650000000002;61.44250000000005;100.89100000000002;100.89100000000002;108.98300000000006;55.373500000000035;113.02900000000005;49.30450000000002;92.79900000000004;108.98300000000006;104.93700000000001;94.82200000000006;71.5575;68.52300000000002
150;1;158.54650000000004;126.17850000000004;141.35100000000006;178.77650000000006;166.63850000000002;183.83400000000006;174.73050000000006;174.73050000000006;166.63850000000002;167.65000000000003;159.55800000000005;173.71900000000005;136.29350000000005;138.31650000000002;155.51200000000006;173.71900000000005;172.70750000000004;151.46600000000007;164.61550000000005;175.74200000000002;213.16750000000002;167.65000000000003;195.97200000000004;182.82250000000005;180.79950000000002;161.58100000000002;145.39700000000005;211.14450000000005;141.35100000000006;177.76500000000004;150.45450000000005;143.37400000000002;164.61550000000005;167.65000000000003;167.65000000000003;176.75350000000003;156.5235;152.47750000000002;202.04100000000005;175.74200000000002;180.79950000000002;83.69550000000004;175.74200000000002;176.75350000000003;182.82250000000005;196.98350000000005;174.73050000000006;165.627;192.93750000000006;150.45450000000005;154.50050000000005;156.5235;163.60400000000004;158.54650000000004;150.45450000000005;152.47750000000002;184.84550000000002;181.81100000000004;159.55800000000005;190.91450000000003;148.43150000000003;156.5235;141.35100000000006;131.23600000000005;140.33950000000004;159.55800000000005;181.81100000000004;172.70750000000004;125.16700000000003;124.15550000000002;188.89150000000006;155.51200000000006;157.53500000000003;163.60400000000004;121.12100000000004;179.788;207.09850000000006;148.43150000000003;162.59250000000003;152.47750000000002;182.82250000000005;187.88000000000005;184.84550000000002;175.74200000000002;152.47750000000002;154.50050000000005;146.40850000000006;130.22450000000003;169.67300000000006;151.46600000000007;133.25900000000001;133.25900000000001;122.13250000000005;153.48900000000003;142.3625;135.28200000000004;174.73050000000006;175.74200000000002;181.81100000000004;175.74200000000002
200;1;290.0415000000001;289.03000000000003;293.0760000000001;309.26000000000005;341.6280000000001;298.1335000000001;306.22550000000007;291.05300000000005;288.0185000000001;314.31750000000005;292.0645;324.43250000000006;277.90350000000007;273.8575000000001;295.099;305.214;309.26000000000005;310.2715;304.20250000000004;276.892;283.9725;292.0645;297.122;315.329;316.3405000000001;328.4785;315.329;331.5130000000001;299.14500000000004;291.05300000000005;268.80000000000007;293.0760000000001;306.22550000000007;264.754;305.214;310.2715;335.559;318.3635000000001;304.20250000000004;323.421;308.2485000000001;309.26000000000005;257.67350000000005;278.915;288.0185000000001;318.3635000000001;299.14500000000004;306.22550000000007;285.99550000000005;303.1910000000001;331.5130000000001;318.3635000000001;285.99550000000005;336.5705000000001;290.0415000000001;323.421;304.20250000000004;317.35200000000003;284.9840000000001;306.22550000000007;295.099;313.3060000000001;311.2830000000001;302.1795;283.9725;305.214;271.83450000000005;337.58200000000005;310.2715;314.31750000000005;299.14500000000004;279.9265000000001;299.14500000000004;293.0760000000001;287.007;306.22550000000007;324.43250000000006;306.22550000000007;299.14500000000004;302.1795;300.1565;308.2485000000001;283.9725;292.0645;312.2945;273.8575000000001;310.2715;304.20250000000004;296.11050000000006;271.83450000000005;284.9840000000001;313.3060000000001;290.0415000000001;265.76550000000003;294.08750000000003;315.329;291.05300000000005;295.099;317.35200000000003;307.237
250;1;241.48950000000002;258.68500000000006;259.69650000000007;241.48950000000002;245.53550000000007;244.52400000000006;219.23650000000004;236.43200000000002;248.57000000000005;245.53550000000007;264.754;250.59300000000002;236.43200000000002;229.35150000000004;248.57000000000005;232.38600000000002;217.21350000000007;249.58150000000006;246.54700000000003;250.59300000000002;224.29400000000004;247.55850000000004;245.53550000000007;237.44350000000003;256.66200000000003;238.45500000000004;229.35150000000004;247.55850000000004;230.36300000000006;263.74250000000006;251.60450000000003;224.29400000000004;228.34000000000003;240.47800000000007;238.45500000000004;251.60450000000003;255.65050000000002;226.31700000000006;255.65050000000002;259.69650000000007;278.915;232.38600000000002;244.52400000000006;233.39750000000004;259.69650000000007;234.40900000000005;237.44350000000003;236.43200000000002;272.84600000000006;226.31700000000006;252.61600000000004;257.67350000000005;266.77700000000004;255.65050000000002;290.0415000000001;242.50100000000003;233.39750000000004;234.40900000000005;234.40900000000005;238.45500000000004;234.40900000000005;232.38600000000002;241.48950000000002;214.17900000000003;258.68500000000006;249.58150000000006;259.69650000000007;238.45500000000004;247.55850000000004;249.58150000000006;253.62750000000005;266.77700000000004;226.31700000000006;250.59300000000002;243.51250000000005;236.43200000000002;228.34000000000003;244.52400000000006;219.23650000000004;216.20200000000006;239.46650000000005;215.19050000000004;247.55850000000004;236.43200000000002;253.62750000000005;230.36300000000006;240.47800000000007;238.45500000000004;258.68500000000006;231.37450000000007;236.43200000000002;242.50100000000003;561.1235000000001;223.28250000000003;225.30550000000005;217.21350000000007;230.36300000000006;207.09850000000006;240.47800000000007;259.69650000000007
300;1;313.3060000000001;291.05300000000005;321.3980000000001;314.31750000000005;331.5130000000001;253.62750000000005;316.3405000000001;321.3980000000001;340.61650000000003;307.237;319.37500000000006;303.1910000000001;313.3060000000001;305.214;279.9265000000001;315.329;282.96100000000007;292.0645;297.122;303.1910000000001;301.16800000000006;305.214;297.122;285.99550000000005;317.35200000000003;318.3635000000001;321.3980000000001;306.22550000000007;313.3060000000001;316.3405000000001;304.20250000000004;280.93800000000005;263.74250000000006;303.1910000000001;322.40950000000004;309.26000000000005;315.329;311.2830000000001;311.2830000000001;326.4555000000001;306.22550000000007;329.49000000000007;323.421;299.14500000000004;303.1910000000001;310.2715;340.61650000000003;306.22550000000007;304.20250000000004;312.2945;299.14500000000004;315.329;311.2830000000001;301.16800000000006;252.61600000000004;299.14500000000004;293.0760000000001;283.9725;275.88050000000004;303.1910000000001;302.1795;328.4785;304.20250000000004;289.03000000000003;307.237;308.2485000000001;298.1335000000001;296.11050000000006;272.84600000000006;328.4785;292.0645;308.2485000000001;304.20250000000004;282.96100000000007;313.3060000000001;321.3980000000001;289.03000000000003;290.0415000000001;309.26000000000005;283.9725;338.5935;331.5130000000001;305.214;287.007;274.869;262.73100000000005;298.1335000000001;272.84600000000006;277.90350000000007;316.3405000000001;339.6050000000001;288.0185000000001;311.2830000000001;327.46700000000004;329.49000000000007;311.2830000000001;322.40950000000004;311.2830000000001;273.8575000000001;
350;1;342.63950000000006;297.122;323.421;318.3635000000001;339.6050000000001;294.08750000000003;290.0415000000001;294.08750000000003;316.3405000000001;320.3865;308.2485000000001;290.0415000000001;329.49000000000007;291.05300000000005;311.2830000000001;333.536;302.1795;333.536;326.4555000000001;336.5705000000001;322.40950000000004;314.31750000000005;331.5130000000001;303.1910000000001;331.5130000000001;325.444;312.2945;344.6625000000001;329.49000000000007;309.26000000000005;313.3060000000001;327.46700000000004;354.7775000000001;340.61650000000003;345.67400000000004;306.22550000000007;284.9840000000001;311.2830000000001;303.1910000000001;314.31750000000005;335.559;324.43250000000006;341.6280000000001;346.6855000000001;322.40950000000004;352.75450000000006;325.444;305.214;339.6050000000001;280.93800000000005;326.4555000000001;335.559;305.214;302.1795;348.7085;333.536;350.73150000000004;326.4555000000001;290.0415000000001;338.5935;320.3865;340.61650000000003;292.0645;356.8005;338.5935;299.14500000000004;362.8695000000001;299.14500000000004;282.96100000000007;313.3060000000001;305.214;319.37500000000006;293.0760000000001;317.35200000000003;307.237;270.82300000000004;296.11050000000006;344.6625000000001;303.1910000000001;352.75450000000006;326.4555000000001;314.31750000000005;295.099;277.90350000000007;263.74250000000006;255.65050000000002;305.214;296.11050000000006;317.35200000000003;333.536;325.444;280.93800000000005;334.54750000000007;312.2945;313.3060000000001;311.2830000000001;326.4555000000001;334.54750000000007;288.0185000000001;353.766
400;1;478.1805000000001;486.2725000000001;467.05400000000003;442.7780000000001;456.939;457.9505000000001;435.69750000000005;422.54800000000006;470.0885;515.606;502.45650000000006;468.0655000000001;464.01950000000005;469.07700000000006;469.07700000000006;487.28400000000005;469.07700000000006;494.3645000000001;473.1230000000001;458.96200000000005;442.7780000000001;435.69750000000005;439.7435000000001;401.3065000000001;458.96200000000005;402.31800000000004;424.5710000000001;459.9735;464.01950000000005;434.6860000000001;450.87000000000006;453.90450000000004;441.7665;454.9160000000001;423.5595;470.0885;445.81250000000006;428.617;424.5710000000001;415.46750000000003;443.78950000000003;424.5710000000001;422.54800000000006;422.54800000000006;449.8585000000001;479.19200000000006;467.05400000000003;493.353;459.9735;411.4215000000001;441.7665;464.01950000000005;426.5940000000001;450.87000000000006;426.5940000000001;372.9845000000001;405.3525;454.9160000000001;446.824;446.824;441.7665;426.5940000000001;434.6860000000001;421.5365000000001;456.939;438.732;444.8010000000001;473.1230000000001;474.13450000000006;452.8930000000001;405.3525;461.9965;427.60550000000006;433.6745;433.6745;451.8815;422.54800000000006;401.3065000000001;424.5710000000001;459.9735;467.05400000000003;449.8585000000001;430.64000000000004;471.1000000000001;466.0425000000001;452.8930000000001;442.7780000000001;440.75500000000005;478.1805000000001;441.7665;439.7435000000001;443.78950000000003;433.6745;439.7435000000001;471.1000000000001;469.07700000000006;487.28400000000005;468.0655000000001;469.07700000000006;441.7665
450;1;419.5135000000001;359.8350000000001;422.54800000000006;390.18;455.92750000000007;439.7435000000001;394.22600000000006;425.58250000000004;406.3640000000001;460.98500000000007;413.4445;425.58250000000004;398.2720000000001;439.7435000000001;461.9965;439.7435000000001;436.709;422.54800000000006;438.732;400.295;439.7435000000001;421.5365000000001;428.617;443.78950000000003;427.60550000000006;446.824;418.502;404.34100000000007;419.5135000000001;446.824;420.52500000000003;440.75500000000005;411.4215000000001;381.07650000000007;401.3065000000001;442.7780000000001;448.84700000000004;440.75500000000005;400.295;434.6860000000001;429.6285000000001;440.75500000000005;425.58250000000004;429.6285000000001;446.824;436.709;420.52500000000003;425.58250000000004;432.66300000000007;392.20300000000003;439.7435000000001;410.41;410.41;430.64000000000004;396.2490000000001;445.81250000000006;425.58250000000004;420.52500000000003;439.7435000000001;420.52500000000003;434.6860000000001;411.4215000000001;430.64000000000004;439.7435000000001;408.387;416.4790000000001;431.6515;415.46750000000003;434.6860000000001;453.90450000000004;432.66300000000007;425.58250000000004;433.6745;410.41;417.49050000000005;411.4215000000001;415.46750000000003;432.66300000000007;406.3640000000001;447.8355000000001;418.502;411.4215000000001;441.7665;423.5595;389.16850000000005;414.4560000000001;418.502;433.6745;436.709;426.5940000000001;396.2490000000001;385.1225;434.6860000000001;430.64000000000004;445.81250000000006;444.8010000000001;439.7435000000001;412.43300000000005;423.5595;414.4560000000001
500;1;485.261;480.2035;497.39900000000006;480.2035;491.3300000000001;512.5715;488.2955;492.34150000000005;457.9505000000001;487.28400000000005;520.6635000000001;533.8130000000001;482.22650000000004;487.28400000000005;508.5255;526.7325000000001;518.6405;481.2150000000001;505.49100000000004;502.45650000000006;516.6175000000001;524.7095000000002;531.79;509.5370000000001;493.353;473.1230000000001;501.4450000000001;509.5370000000001;494.3645000000001;509.5370000000001;465.031;499.4220000000001;508.5255;491.3300000000001;505.49100000000004;499.4220000000001;530.7785000000001;483.2380000000001;511.5600000000001;494.3645000000001;505.49100000000004;513.5830000000001;513.5830000000001;488.2955;517.6290000000001;500.43350000000004;481.2150000000001;499.4220000000001;477.16900000000004;507.51400000000007;533.8130000000001;482.22650000000004;545.951;505.49100000000004;476.1575000000001;504.4795000000001;498.4105;516.6175000000001;501.4450000000001;477.16900000000004;534.8245000000002;491.3300000000001;493.353;502.45650000000006;505.49100000000004;460.98500000000007;496.3875000000001;490.31850000000003;509.5370000000001;518.6405;480.2035;503.468;493.353;486.2725000000001;481.2150000000001;481.2150000000001;500.43350000000004;532.8015;484.24950000000007;481.2150000000001;509.5370000000001;489.3070000000001;491.3300000000001;495.37600000000003;497.39900000000006;476.1575000000001;531.79;505.49100000000004;468.0655000000001;528.7555;510.54850000000005;493.353;496.3875000000001;508.5255;493.353;507.51400000000007;530.7785000000001;536.8475000000001;479.19200000000006;494.3645000000001
