Source.Name;default;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92;_93;_94;_95;_96;_97;_98;_99
50;1;-10.373999999999967;93.81050000000005;103.92550000000006;128.2015;109.99450000000002;87.74150000000003;82.68400000000003;46.27000000000004;124.15550000000002;14.913500000000028;-8.35099999999997;66.50000000000006;62.45400000000001;71.5575;165.627;80.66100000000006;94.82200000000006;108.98300000000006;71.5575;20.982500000000016;-45.77649999999997;148.43150000000003;112.01750000000004;86.73000000000002;66.50000000000006;107.97150000000005;192.93750000000006;171.69600000000003;61.44250000000005;66.50000000000006;122.13250000000005;45.258500000000026;96.84500000000003;66.50000000000006;-12.396999999999963;-10.373999999999967;77.62650000000002;76.61500000000001;104.93700000000001;83.69550000000004;-14.419999999999987;4.798500000000018;33.12050000000005;43.2355;51.32750000000004;57.3965;83.69550000000004;112.01750000000004;113.02900000000005;83.69550000000004;46.27000000000004;-0.25899999999998613;-21.500499999999988;123.14400000000006;-10.373999999999967;141.35100000000006;113.02900000000005;21.994000000000028;59.41950000000003;90.77600000000001;52.339000000000055;69.53450000000004;15.92500000000004;90.77600000000001;41.212500000000034;53.35050000000001;101.90250000000003;-23.523499999999984;52.339000000000055;50.31600000000003;56.38500000000005;136.29350000000005;113.02900000000005;104.93700000000001;122.13250000000005;64.47700000000003;68.52300000000002;100.89100000000002;42.224000000000046;10.867500000000035;64.47700000000003;106.96000000000004;84.70700000000005;105.94850000000002;38.178000000000054;58.408000000000015;21.994000000000028;222.27100000000002;-17.454499999999967;84.70700000000005;113.02900000000005;158.54650000000004;150.45450000000005;61.44250000000005;36.15500000000003;-18.46599999999998;142.3625;142.3625;78.63800000000003;67.51150000000001
100;1;40.20100000000002;159.55800000000005;144.38550000000004;73.58050000000003;137.30500000000006;138.31650000000002;160.56950000000006;149.44300000000004;147.42000000000002;94.82200000000006;88.75300000000004;168.66150000000005;155.51200000000006;148.43150000000003;162.59250000000003;159.55800000000005;136.29350000000005;178.77650000000006;173.71900000000005;139.32800000000003;134.27050000000003;235.42050000000006;156.5235;73.58050000000003;169.67300000000006;144.38550000000004;107.97150000000005;107.97150000000005;151.46600000000007;182.82250000000005;89.76450000000006;95.83350000000002;207.09850000000006;127.19000000000005;149.44300000000004;127.19000000000005;43.2355;142.3625;124.15550000000002;48.293000000000006;109.99450000000002;178.77650000000006;71.5575;41.212500000000034;114.04050000000001;183.83400000000006;63.46550000000002;44.247000000000014;150.45450000000005;108.98300000000006;98.86800000000005;124.15550000000002;111.00600000000003;99.87950000000001;91.78750000000002;108.98300000000006;68.52300000000002;119.09800000000001;135.28200000000004;146.40850000000006;141.35100000000006;111.00600000000003;47.28150000000005;114.04050000000001;166.63850000000002;146.40850000000006;101.90250000000003;88.75300000000004;152.47750000000002;98.86800000000005;197.99500000000006;144.38550000000004;123.14400000000006;176.75350000000003;168.66150000000005;87.74150000000003;74.59200000000004;121.12100000000004;90.77600000000001;131.23600000000005;117.07500000000005;125.16700000000003;76.61500000000001;64.47700000000003;190.91450000000003;131.23600000000005;153.48900000000003;146.40850000000006;141.35100000000006;127.19000000000005;128.2015;83.69550000000004;70.54600000000005;109.99450000000002;138.31650000000002;162.59250000000003;104.93700000000001;155.51200000000006;99.87950000000001;107.97150000000005
150;1;199.00650000000002;195.97200000000004;204.06400000000002;222.27100000000002;204.06400000000002;162.59250000000003;148.43150000000003;204.06400000000002;135.28200000000004;112.01750000000004;177.76500000000004;155.51200000000006;128.2015;192.93750000000006;89.76450000000006;154.50050000000005;131.23600000000005;95.83350000000002;132.24750000000006;186.86850000000004;123.14400000000006;180.79950000000002;151.46600000000007;193.949;146.40850000000006;134.27050000000003;151.46600000000007;150.45450000000005;177.76500000000004;81.67250000000001;155.51200000000006;221.25950000000006;111.00600000000003;105.94850000000002;258.68500000000006;116.06350000000003;101.90250000000003;55.373500000000035;106.96000000000004;181.81100000000004;221.25950000000006;124.15550000000002;154.50050000000005;138.31650000000002;210.13300000000004;182.82250000000005;103.92550000000006;215.19050000000004;138.31650000000002;154.50050000000005;161.58100000000002;98.86800000000005;190.91450000000003;150.45450000000005;137.30500000000006;119.09800000000001;185.85700000000003;152.47750000000002;146.40850000000006;171.69600000000003;153.48900000000003;133.25900000000001;140.33950000000004;113.02900000000005;169.67300000000006;178.77650000000006;236.43200000000002;138.31650000000002;166.63850000000002;141.35100000000006;205.07550000000003;154.50050000000005;121.12100000000004;166.63850000000002;112.01750000000004;140.33950000000004;51.32750000000004;157.53500000000003;66.50000000000006;149.44300000000004;220.24800000000005;233.39750000000004;200.01800000000003;116.06350000000003;191.92600000000004;202.04100000000005;162.59250000000003;156.5235;83.69550000000004;130.22450000000003;143.37400000000002;171.69600000000003;188.89150000000006;132.24750000000006;142.3625;220.24800000000005;141.35100000000006;120.10950000000003;194.96050000000002;158.54650000000004
200;1;217.21350000000007;277.90350000000007;296.11050000000006;222.27100000000002;243.51250000000005;317.35200000000003;221.25950000000006;232.38600000000002;182.82250000000005;259.69650000000007;246.54700000000003;307.237;314.31750000000005;153.48900000000003;202.04100000000005;312.2945;260.708;176.75350000000003;289.03000000000003;317.35200000000003;284.9840000000001;264.754;233.39750000000004;204.06400000000002;314.31750000000005;240.47800000000007;256.66200000000003;328.4785;250.59300000000002;224.29400000000004;296.11050000000006;291.05300000000005;245.53550000000007;234.40900000000005;173.71900000000005;300.1565;135.28200000000004;213.16750000000002;224.29400000000004;249.58150000000006;234.40900000000005;227.32850000000002;211.14450000000005;236.43200000000002;176.75350000000003;187.88000000000005;154.50050000000005;240.47800000000007;179.788;284.9840000000001;264.754;252.61600000000004;179.788;268.80000000000007;246.54700000000003;244.52400000000006;237.44350000000003;322.40950000000004;289.03000000000003;235.42050000000006;196.98350000000005;263.74250000000006;311.2830000000001;359.8350000000001;255.65050000000002;261.71950000000004;265.76550000000003;219.23650000000004;251.60450000000003;219.23650000000004;200.01800000000003;278.915;29.0745;257.67350000000005;246.54700000000003;214.17900000000003;199.00650000000002;248.57000000000005;296.11050000000006;278.915;224.29400000000004;294.08750000000003;256.66200000000003;196.98350000000005;289.03000000000003;225.30550000000005;225.30550000000005;229.35150000000004;256.66200000000003;312.2945;234.40900000000005;221.25950000000006;262.73100000000005;207.09850000000006;245.53550000000007;244.52400000000006;218.22500000000002;217.21350000000007;233.39750000000004;192.93750000000006
250;1;275.88050000000004;314.31750000000005;204.06400000000002;251.60450000000003;308.2485000000001;219.23650000000004;273.8575000000001;244.52400000000006;292.0645;319.37500000000006;335.559;345.67400000000004;304.20250000000004;326.4555000000001;290.0415000000001;335.559;164.61550000000005;248.57000000000005;276.892;295.099;240.47800000000007;268.80000000000007;278.915;266.77700000000004;275.88050000000004;212.15600000000006;306.22550000000007;274.869;274.869;344.6625000000001;265.76550000000003;271.83450000000005;217.21350000000007;254.63900000000007;315.329;213.16750000000002;337.58200000000005;258.68500000000006;303.1910000000001;288.0185000000001;314.31750000000005;214.17900000000003;227.32850000000002;265.76550000000003;296.11050000000006;267.78850000000006;216.20200000000006;291.05300000000005;281.9495;247.55850000000004;260.708;270.82300000000004;288.0185000000001;224.29400000000004;330.5015;289.03000000000003;256.66200000000003;330.5015;251.60450000000003;351.743;207.09850000000006;244.52400000000006;303.1910000000001;221.25950000000006;264.754;278.915;269.8115;221.25950000000006;254.63900000000007;220.24800000000005;283.9725;183.83400000000006;290.0415000000001;284.9840000000001;265.76550000000003;319.37500000000006;279.9265000000001;226.31700000000006;237.44350000000003;236.43200000000002;326.4555000000001;292.0645;275.88050000000004;216.20200000000006;268.80000000000007;322.40950000000004;227.32850000000002;279.9265000000001;335.559;301.16800000000006;310.2715;302.1795;321.3980000000001;226.31700000000006;296.11050000000006;305.214;359.8350000000001;281.9495;230.36300000000006;294.08750000000003
300;1;335.559;315.329;342.63950000000006;305.214;261.71950000000004;263.74250000000006;252.61600000000004;371.973;340.61650000000003;339.6050000000001;272.84600000000006;307.237;328.4785;331.5130000000001;322.40950000000004;266.77700000000004;287.007;306.22550000000007;334.54750000000007;347.69700000000006;358.8235;364.8925000000001;328.4785;278.915;336.5705000000001;335.559;387.1455;270.82300000000004;228.34000000000003;375.0075000000001;268.80000000000007;340.61650000000003;302.1795;273.8575000000001;318.3635000000001;311.2830000000001;409.39850000000007;223.28250000000003;299.14500000000004;346.6855000000001;255.65050000000002;266.77700000000004;418.502;400.295;349.7200000000001;400.295;362.8695000000001;343.651;382.088;453.90450000000004;363.88100000000003;254.63900000000007;388.1570000000001;358.8235;277.90350000000007;278.915;341.6280000000001;331.5130000000001;323.421;347.69700000000006;305.214;327.46700000000004;356.8005;252.61600000000004;353.766;327.46700000000004;333.536;260.708;276.892;320.3865;325.444;399.28350000000006;324.43250000000006;247.55850000000004;262.73100000000005;234.40900000000005;327.46700000000004;296.11050000000006;358.8235;337.58200000000005;406.3640000000001;287.007;308.2485000000001;326.4555000000001;273.8575000000001;287.007;299.14500000000004;339.6050000000001;393.2145000000001;332.52450000000005;285.99550000000005;290.0415000000001;344.6625000000001;351.743;366.9155;322.40950000000004;397.26050000000004;361.858;178.77650000000006;378.0420000000001
350;1;277.90350000000007;302.1795;385.1225;397.26050000000004;281.9495;459.9735;385.1225;434.6860000000001;418.502;370.96150000000006;408.387;378.0420000000001;352.75450000000006;357.81200000000007;429.6285000000001;333.536;398.2720000000001;313.3060000000001;363.88100000000003;418.502;391.1915000000001;398.2720000000001;345.67400000000004;382.088;428.617;406.3640000000001;438.732;423.5595;357.81200000000007;400.295;370.96150000000006;357.81200000000007;397.26050000000004;358.8235;402.31800000000004;330.5015;362.8695000000001;394.22600000000006;306.22550000000007;312.2945;323.421;309.26000000000005;342.63950000000006;398.2720000000001;371.973;380.065;353.766;394.22600000000006;371.973;427.60550000000006;427.60550000000006;377.0305;425.58250000000004;336.5705000000001;397.26050000000004;390.18;455.92750000000007;367.9270000000001;387.1455;391.1915000000001;346.6855000000001;391.1915000000001;415.46750000000003;318.3635000000001;476.1575000000001;296.11050000000006;362.8695000000001;418.502;375.0075000000001;386.13400000000007;379.05350000000004;469.07700000000006;313.3060000000001;395.2375;367.9270000000001;388.1570000000001;439.7435000000001;337.58200000000005;359.8350000000001;403.3295000000001;439.7435000000001;349.7200000000001;397.26050000000004;330.5015;356.8005;366.9155;440.75500000000005;392.20300000000003;356.8005;353.766;433.6745;454.9160000000001;338.5935;233.39750000000004;379.05350000000004;355.78900000000004;376.01900000000006;346.6855000000001;363.88100000000003;377.0305
400;1;395.2375;358.8235;431.6515;440.75500000000005;494.3645000000001;435.69750000000005;484.24950000000007;458.96200000000005;471.1000000000001;476.1575000000001;469.07700000000006;495.37600000000003;491.3300000000001;507.51400000000007;386.13400000000007;428.617;394.22600000000006;483.2380000000001;303.1910000000001;431.6515;432.66300000000007;372.9845000000001;398.2720000000001;363.88100000000003;452.8930000000001;423.5595;398.2720000000001;423.5595;393.2145000000001;416.4790000000001;494.3645000000001;354.7775000000001;430.64000000000004;431.6515;452.8930000000001;415.46750000000003;467.05400000000003;502.45650000000006;405.3525;473.1230000000001;490.31850000000003;503.468;459.9735;447.8355000000001;455.92750000000007;504.4795000000001;498.4105;501.4450000000001;490.31850000000003;457.9505000000001;431.6515;473.1230000000001;373.99600000000004;384.11100000000005;405.3525;482.22650000000004;423.5595;448.84700000000004;416.4790000000001;387.1455;441.7665;490.31850000000003;460.98500000000007;375.0075000000001;471.1000000000001;458.96200000000005;452.8930000000001;449.8585000000001;434.6860000000001;404.34100000000007;440.75500000000005;439.7435000000001;420.52500000000003;475.146;435.69750000000005;431.6515;539.8820000000001;467.05400000000003;446.824;467.05400000000003;454.9160000000001;438.732;457.9505000000001;551.0085000000001;380.065;495.37600000000003;452.8930000000001;444.8010000000001;493.353;439.7435000000001;466.0425000000001;548.9855;503.468;470.0885;518.6405;348.7085;464.01950000000005;477.16900000000004;432.66300000000007;398.2720000000001
450;1;402.31800000000004;475.146;493.353;431.6515;506.5025000000001;588.434;452.8930000000001;465.031;522.6865;549.9970000000001;567.1925000000001;556.066;465.031;424.5710000000001;570.2270000000001;524.7095000000002;475.146;490.31850000000003;485.261;569.2155;504.4795000000001;477.16900000000004;517.6290000000001;501.4450000000001;580.3420000000001;534.8245000000002;484.24950000000007;509.5370000000001;542.9165;441.7665;560.1120000000001;475.146;491.3300000000001;513.5830000000001;468.0655000000001;513.5830000000001;564.1580000000001;558.0890000000002;482.22650000000004;487.28400000000005;580.3420000000001;497.39900000000006;454.9160000000001;518.6405;443.78950000000003;612.71;504.4795000000001;545.951;542.9165;506.5025000000001;503.468;472.11150000000004;502.45650000000006;534.8245000000002;537.8590000000002;461.9965;477.16900000000004;503.468;437.7205000000001;423.5595;457.9505000000001;592.48;393.2145000000001;495.37600000000003;503.468;543.9280000000001;495.37600000000003;408.387;475.146;530.7785000000001;455.92750000000007;502.45650000000006;544.9395;482.22650000000004;531.79;554.0430000000001;484.24950000000007;506.5025000000001;567.1925000000001;489.3070000000001;526.7325000000001;511.5600000000001;473.1230000000001;497.39900000000006;456.939;520.6635000000001;534.8245000000002;565.1695;577.3075000000001;499.4220000000001;518.6405;452.8930000000001;495.37600000000003;499.4220000000001;495.37600000000003;497.39900000000006;542.9165;549.9970000000001;520.6635000000001;526.7325000000001
500;1;495.37600000000003;525.721;568.204;578.319;506.5025000000001;529.767;607.6525000000001;486.2725000000001;601.5835;548.9855;574.2730000000001;540.8935000000001;503.468;622.825;552.02;452.8930000000001;599.5605;587.4225000000001;642.0435;576.296;606.6410000000001;471.1000000000001;532.8015;500.43350000000004;577.3075000000001;630.9170000000001;473.1230000000001;597.5375000000001;616.7560000000001;589.4455;482.22650000000004;533.8130000000001;565.1695;551.0085000000001;545.951;582.365;554.0430000000001;500.43350000000004;532.8015;587.4225000000001;574.2730000000001;730.0440000000001;547.9740000000002;539.8820000000001;501.4450000000001;479.19200000000006;545.951;515.606;604.6180000000002;518.6405;576.296;546.9625000000001;591.4685000000002;587.4225000000001;557.0775000000001;566.181;618.779;535.836;570.2270000000001;544.9395;504.4795000000001;513.5830000000001;539.8820000000001;563.1465000000001;534.8245000000002;501.4450000000001;465.031;557.0775000000001;578.319;580.3420000000001;514.5945000000002;542.9165;539.8820000000001;518.6405;584.3880000000001;479.19200000000006;559.1005;591.4685000000002;535.836;538.8705;525.721;589.4455;555.0545;593.4915000000001;483.2380000000001;634.963;506.5025000000001;542.9165;555.0545;536.8475000000001;483.2380000000001;586.4110000000001;531.79;531.79;573.2615000000001;598.549;484.24950000000007;551.0085000000001;544.9395;461.9965
