distance;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91;_92
50;85.85230365953272;77.76787440525929;84.09342814000658;65.74794530956305;74.44260460817993;81.05503922506719;79.76050208051753;87.44660867258324;73.76087341773129;89.89375028360132;87.64796734623927;82.56025748784099;75.13063666512456;84.48114898371028;85.26196178592542;79.03007059816505;74.44260460817993;79.03007059816505;72.58283203539922;73.59141835689192;70.12142769082233;76.35002968948747;79.94416236366476;73.08538539164365;92.19707638088428;79.39444634461776;84.28706562247159;89.48118865153393;77.4109637069535;81.05503922506719;70.76952148581977;62.36027290886878;75.13063666512456;65.4461993090189;90.93349548795442;77.58921383254534;74.78582940118197;59.5566774016345;99.01074905214578;75.30363600242836;75.30363600242836;76.52583685851603;68.36960951264311;72.08373436149837;79.76050208051753;69.00151221557883;86.44673297753417;90.93349548795442;89.89375028360132;69.16039834267852;81.80418637886815;82.94090950069848;74.61401965051199;81.61625295647981;84.87065745167865;80.86882686115663;81.61625295647981;74.61401965051199;80.12824555161734;77.58921383254534;75.65083066354039;73.25367523717904;78.66736713095496;85.65507026646488;82.37058710017779;76.17462641229403;75.30363600242836;80.31275261817575;65.4461993090189;75.30363600242836;69.16039834267852;83.70748671638003;68.2125401098187;74.44260460817993;77.23312308554021;66.96890589345728;77.9469463702102;77.23312308554021;73.25367523717904;80.12824555161734;87.64796734623927;76.35002968948747;75.65083066354039;83.3233165462957;76.8786665943013;75.65083066354039;72.41608335620725;82.56025748784099;68.05583155149054;76.8786665943013;70.76952148581977;75.13063666512456;83.13189313954281
100;89.68723224473376;101.5476778317758;81.05503922506719;92.4093737048952;95.43338077220086;103.67162174218069;80.68304229352877;94.55942005273376;84.87065745167865;93.26346272832193;83.70748671638003;79.5772637306123;94.99539535941216;93.90920587301264;116.0392412484498;81.24168037032425;104.38942952113904;86.24813396809573;85.06608461890904;79.5772637306123;95.21413622430518;88.4580493090837;82.56025748784099;61.64723758177376;90.10074386061753;90.72458878313572;82.18135245311242;101.08163124269969;102.72221678143227;102.48622717491455;94.77715702038213;81.42875128425993;100.3865687105195;78.48664010230719;93.90920587301264;92.4093737048952;91.77394378063636;92.19707638088428;94.55942005273376;75.82502782400917;86.44673297753417;98.32992642291843;90.10074386061753;103.43345101350522;94.12544562691185;94.34218330463797;90.72458878313572;85.85230365953272;84.09342814000658;104.38942952113904;91.35275312046308;89.27561841403075;84.87065745167865;75.30363600242836;73.76087341773129;75.82502782400917;84.09342814000658;88.25482958793816;76.17462641229403;105.35424361240754;99.01074905214578;73.76087341773129;82.18135245311242;79.39444634461776;84.28706562247159;96.09414812530488;94.77715702038213;93.69346289903146;96.98229349236969;107.3107059503725;89.68723224473376;96.75949053895263;77.76787440525929;104.38942952113904;89.48118865153393;86.24813396809573;71.42360525536486;89.27561841403075;88.86589365874443;85.85230365953272;104.62980153088488;93.04920325689164;100.84941064689724;94.34218330463797;96.53719944346616;94.77715702038213;60.5233003427056;102.01587317350378;98.10402747551902;92.62215987470853;85.85230365953272;87.24571259169099;84.28706562247159
150;98.78328601209519;94.55942005273376;107.80547228788281;104.62980153088488;104.38942952113904;112.1041579161951;102.01587317350378;105.11220730055531;103.19582744802683;99.69628560183793;107.80547228788281;87.44660867258324;120.11245398749564;102.01587317350378;111.33330173875498;99.23873585928976;108.3025197932092;118.19412744424307;96.98229349236969;103.9103408939769;103.43345101350522;91.77394378063636;109.80745473420666;91.77394378063636;97.42943969022213;97.2056094823455;104.62980153088488;102.01587317350378;113.92364240658203;105.35424361240754;88.6617369735164;107.55780462860899;122.90705514830907;93.69346289903146;111.84661464128764;88.6617369735164;102.25077972077757;93.90920587301264;101.31438656056716;111.58966303523249;84.87065745167865;90.10074386061753;104.62980153088488;119.83651279733715;102.9587497887163;97.2056094823455;110.06030254361242;98.78328601209519;108.80185898389541;107.3107059503725;111.33330173875498;96.98229349236969;102.48622717491455;98.32992642291843;110.56774616084073;91.98526677962242;114.1859683433024;83.51518073358744;81.05503922506719;102.01587317350378;102.01587317350378;102.01587317350378;110.06030254361242;113.40079711762655;112.1041579161951;105.83998949201612;97.65378530006194;88.86589365874443;92.19707638088428;113.92364240658203;101.78150629043697;90.51616201160321;103.9103408939769;115.50668655357624;96.75949053895263;98.78328601209519;112.62102492532209;114.1859683433024;102.48622717491455;102.9587497887163;108.3025197932092;100.84941064689724;95.65313016290338;91.35275312046308;86.8453039596765;99.92585095768132;93.90920587301264;92.83543601596358;107.55780462860899;107.80547228788281;105.83998949201612;89.48118865153393;102.48622717491455
200;144.70951967574905;135.0612555746781;146.04699018750796;156.1205430194796;152.9220662226185;148.75912997493032;145.37671684325215;169.5975742568894;138.52189787423194;158.65442679270308;136.62342527317932;180.04888917235328;84.67567925042412;135.68396849198137;147.73622505843724;160.12078241236603;183.8147433001679;165.3605796128513;142.72624437825547;130.4811041541137;135.0612555746781;131.99029808444726;176.76628220841215;155.7618783929666;158.2899409304989;142.3983512378432;145.37671684325215;150.82623619664253;144.70951967574905;169.2079480779645;148.4173771424014;160.12078241236603;152.2202401555017;169.2079480779645;152.2202401555017;145.0427346212984;136.62342527317932;146.38328485555763;149.1016697436037;156.84035180832117;141.09429426645892;155.04701918906255;141.09429426645892;133.21021182558732;155.04701918906255;149.78911734170106;170.7718440912787;139.16056641591413;167.27320278297256;144.37707024389624;153.9808771765164;139.80217960037407;160.489484056269;137.8861604610773;144.37707024389624;160.85903468991685;163.46982562039878;162.34576628801665;154.69082083006467;132.29422515218823;150.82623619664253;146.38328485555763;149.1016697436037;139.16056641591413;138.20366361880318;154.69082083006467;156.1205430194796;135.0612555746781;139.80217960037407;147.39682220370585;140.4467510041707;161.2294362682334;157.56347934485905;146.72035389152555;166.88891651518585;131.3845370318381;149.44499826045774;126.34653637584607;166.88891651518585;151.8705359171794;133.21021182558732;167.65837392639204;128.10220482778118;152.9220662226185;139.48100408072568;148.75912997493032;;;;;;;
250;146.04699018750796;162.71959128443044;111.33330173875498;129.58388350640496;117.38139511592345;128.6928323718675;130.4811041541137;127.22134208574965;134.1325406623339;125.18947886683053;124.90187393789093;124.04301747004386;136.9380207974764;133.82439032753845;130.18134247263782;148.4173771424014;136.62342527317932;136.9380207974764;119.28653076694064;126.05627327270784;142.72624437825547;149.1016697436037;126.34653637584607;105.83998949201612;131.687069245691;117.651683036647;119.28653076694064;139.80217960037407;137.25334072422285;137.5693867214618;135.37225397356013;139.48100408072568;159.75292780777542;141.74482308927838;132.59885205668874;114.1859683433024;127.22134208574965;147.39682220370585;132.29422515218823;139.16056641591413;123.75804637224999;132.59885205668874;139.80217960037407;120.38903057281587;161.97280010108508;119.56120554261082;131.99029808444726;130.78155608093476;200.60311835065107;144.37707024389624;132.59885205668874;108.80185898389541;129.58388350640496;130.78155608093476;136.30955248712056;130.78155608093476;150.13402880772443;121.78149575309698;131.0826998424925;140.4467510041707;130.18134247263782;143.05489254083338;136.62342527317932;113.40079711762655;156.1205430194796;146.04699018750796;124.61492974015573;134.1325406623339;139.48100408072568;148.07640943814368;139.48100408072568;146.38328485555763;132.9041804094259;127.22134208574965;139.48100408072568;107.80547228788281;146.38328485555763;121.22258734750707;135.99640077891235;126.05627327270784;135.37225397356013;141.4191846239604;137.8861604610773;144.70951967574905;135.99640077891235;116.0392412484498;129.88226945076727;143.05489254083338;128.10220482778118;133.82439032753845;150.13402880772443;99.23873585928976;148.07640943814368
300;138.84086491082343;116.30643866255794;126.34653637584607;130.18134247263782;132.29422515218823;140.1240946738786;129.28618306108862;130.78155608093476;143.71446089068743;169.5975742568894;158.2899409304989;123.47372995481003;148.4173771424014;160.85903468991685;119.28653076694064;155.40403774715355;117.92259333504816;142.72624437825547;121.22258734750707;168.81921700947953;135.68396849198137;151.17353578131596;141.74482308927838;139.80217960037407;121.78149575309698;152.9220662226185;162.34576628801665;173.9431324029159;189.82990237472006;117.38139511592345;166.88891651518585;115.77265768219846;124.90187393789093;143.3842974641264;155.04701918906255;139.16056641591413;153.62712812636244;166.88891651518585;142.071211385041;165.74134666021052;159.75292780777542;146.04699018750796;134.1325406623339;150.13402880772443;157.2014997784399;129.58388350640496;128.39717898913622;149.44499826045774;128.98916653998216;125.47774604840528;166.12299047968008;142.071211385041;171.95424440542277;144.70951967574905;147.73622505843724;162.34576628801665;138.52189787423194;123.47372995481003;149.78911734170106;132.9041804094259;177.17331256296666;149.78911734170106;150.13402880772443;152.2202401555017;158.65442679270308;145.37671684325215;167.27320278297256;125.47774604840528;322.18580733237013;136.62342527317932;153.62712812636244;124.61492974015573;170.7718440912787;129.88226945076727;156.1205430194796;162.71959128443044;159.38591829654547;154.3354407858697;178.81082805990556;140.4467510041707;145.37671684325215;165.3605796128513;131.0826998424925;148.07640943814368;151.17353578131596;147.39682220370585;159.019751937195;174.74511395537968;146.04699018750796;113.92364240658203;153.9808771765164;132.29422515218823;145.37671684325215
350;163.46982562039878;176.76628220841215;187.2282424635478;162.71959128443044;162.34576628801665;181.29552244642448;176.3601869479027;171.1650713707123;139.48100408072568;168.43137899504623;154.69082083006467;170.7718440912787;181.71298204255672;160.489484056269;155.04701918906255;167.65837392639204;185.51364188915767;160.12078241236603;148.4173771424014;176.3601869479027;149.1016697436037;137.25334072422285;171.1650713707123;161.97280010108508;192.0255470109072;170.7718440912787;172.35019433542686;151.8705359171794;179.22256628189072;159.75292780777542;177.58128016475786;212.4758682044176;159.019751937195;166.50551309015668;170.3795201952986;186.3689703891691;166.50551309015668;182.1314029007877;180.46347821208073;156.48003352402927;173.54352292544948;177.58128016475786;182.97113726243202;150.13402880772443;188.09147629452292;168.81921700947953;183.8147433001679;224.53428676337103;189.39379531462785;147.05819907850767;167.65837392639204;164.98068732334383;127.51428793112879;152.5707496392494;161.2294362682334;175.1474902728613;153.62712812636244;157.92629242245135;168.43137899504623;146.72035389152555;160.12078241236603;140.4467510041707;159.38591829654547;160.489484056269;174.74511395537968;178.81082805990556;167.65837392639204;151.17353578131596;173.14483149362397;257.75987140260105;154.69082083006467;140.77015029810312;154.69082083006467;148.4173771424014;138.52189787423194;159.38591829654547;152.9220662226185;146.72035389152555;164.98068732334383;169.5975742568894;161.97280010108508;174.74511395537968;197.39926834329586;197.85380918207326;196.0419016920219;124.04301747004386;156.84035180832117;143.71446089068743;164.60166778205706;160.489484056269;195.14217989089008;167.65837392639204;179.63525259166943
400;196.9457717471083;213.9470213365385;252.47908674801366;276.1732594861681;285.8675010773755;281.9496250833612;238.3710326635721;295.2222376036896;281.9496250833612;265.5832685032748;298.63688995492015;230.28747517530482;272.3882451720131;223.5038009786536;241.12812241994263;265.5832685032748;229.7584226260572;262.5465554823915;271.76247212298546;266.8077657227987;229.7584226260572;239.4700652508151;267.4221298318544;336.57749526173416;232.95106744040345;237.27704401627443;262.5465554823915;278.08544442808454;269.2737231785496;287.84680758938356;282.598855549887;236.18807616008147;276.80918902161307;254.81261210362217;258.3534014046816;313.4150719573846;260.1422041467649;245.60594954833422;247.87595027647916;314.13675624167104;257.75987140260105;274.9057799304979;293.86733397819717;311.2599516762814;239.4700652508151;273.01545915549303;236.73193393193665;254.81261210362217;295.9020302120025;283.90180477109226;228.70396100307693;281.3018861310095;263.7570516442754;239.4700652508151;255.39935560783434;253.64316587639095;265.5832685032748;249.59220861540658;240.57416503357393;249.59220861540658;242.7976597445259;283.90180477109226;250.7429775143165;248.44672109694383;289.1739529985368;247.87595027647916;276.1732594861681;281.3018861310095;233.48747152374744;274.9057799304979;255.9874501752332;297.2663150003028;271.1381366980691;286.52575302941904;248.44672109694383;218.92482816947444;297.2663150003028;289.1739529985368;288.50961718568635;264.36439103562185;234.02511075636028;273.6441173913884;284.5555304183761;228.17854635123973;311.97667347925545;248.44672109694383;234.56398798235475;263.7570516442754;281.9496250833612;390.8517845698973;272.3882451720131;300.7046099258363;258.3534014046816
450;306.994066649216;331.96462781845474;304.18267347431294;349.99834311843045;344.4084888659446;369.0117257090382;307.7009656247064;309.8314439851943;328.9245590016707;341.25446154044994;287.18552070336415;330.44109733708814;336.57749526173416;358.96626708608295;297.2663150003028;321.44563150400245;302.78664650003196;315.58511398926566;331.20198654813083;266.8077657227987;258.94829809685814;319.97037728515147;281.9496250833612;314.86010231013057;328.9245590016707;372.422298162979;349.99834311843045;254.81261210362217;287.18552070336415;285.8675010773755;313.4150719573846;339.6882959598702;312.6950456395597;249.59220861540658;318.50189365142256;345.2015400495941;326.6627916155961;304.88309880366177;300.0137840772717;251.32035008653247;296.5833881427452;353.23318533291837;255.9874501752332;309.1196505402723;318.50189365142256;354.8618009295309;349.99834311843045;308.4094923390225;334.2631043753249;292.51864859645656;353.23318533291837;357.3188143038935;314.86010231013057;323.67127600466995;298.63688995492015;328.1689018548046;329.6819561602209;350.80426576336697;281.3018861310095;314.13675624167104;323.67127600466995;278.08544442808454;311.2599516762814;291.17615292023476;354.0465566776694;300.0137840772717;304.88309880366177;287.18552070336415;328.9245590016707;245.60594954833422;380.2117827594916;280.6556352662915;293.19221579357423;338.90791066626997;311.2599516762814;283.90180477109226;342.040250112449;309.1196505402723;287.18552070336415;318.50189365142256;259.54456462613547;302.78664650003196;348.39204805117305;318.50189365142256;291.17615292023476;274.274223205303;302.091037470114;275.5387909079098;287.18552070336415;320.70715612377506;236.73193393193665;295.2222376036896;263.7570516442754
500;397.1954276004851;408.3107066643835;300.7046099258363;338.90791066626997;342.82784807816876;369.0117257090382;325.9123305559271;343.61725960400435;329.6819561602209;353.23318533291837;338.1293181963075;355.6789224011468;348.39204805117305;319.97037728515147;306.994066649216;372.422298162979;314.86010231013057;381.08727629145363;392.65384433875624;372.422298162979;367.31816993535824;264.97312891521335;329.6819561602209;340.47047820534823;319.97037728515147;287.18552070336415;315.58511398926566;338.90791066626997;311.2599516762814;296.5833881427452;347.59166713154747;359.79283969449995;310.54487643917764;307.7009656247064;379.3383005487472;321.44563150400245;371.5667111794065;341.25446154044994;407.3726711933644;335.032794319519;385.4950762409936;357.3188143038935;308.4094923390225;368.16397402805757;314.86010231013057;345.2015400495941;322.18580733237013;399.94555307269343;379.3383005487472;323.67127600466995;376.72987568964214;297.95081439736;344.4084888659446;319.97037728515147;287.84680758938356;390.8517845698973;396.28292789392685;326.6627916155961;345.9964173501956;357.3188143038935;341.25446154044994;319.23529109056983;363.9543401153048;273.6441173913884;364.79239849526294;380.2117827594916;392.65384433875624;328.9245590016707;291.8466288236721;365.6323866278597;363.9543401153048;383.7258711816188;353.23318533291837;317.7701810880355;312.6950456395597;314.13675624167104;364.79239849526294;354.0465566776694;353.23318533291837;314.86010231013057;389.95385847623;335.80425658797634;390.8517845698973;317.04014952964735;342.82784807816876;381.9647857759958;302.091037470114;428.5161472499453;338.1293181963075;339.6882959598702;409.250902099993;324.4165767067347;360.62131560787793
