distance;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86;_87;_88;_89;_90;_91
50;66.96890589345728;87.24571259169099;90.72458878313572;75.65083066354039;77.9469463702102;84.67567925042412;77.23312308554021;82.56025748784099;81.80418637886815;88.05207673504692;72.2497177582651;84.67567925042412;85.65507026646488;90.51616201160321;66.50841097726541;72.58283203539922;63.51832332191402;69.79960987189996;74.27158336739988;80.86882686115663;80.86882686115663;72.2497177582651;65.74794530956305;76.52583685851603;99.92585095768132;86.04999121148714;95.65313016290338;77.76787440525929;76.52583685851603;79.76050208051753;77.76787440525929;86.8453039596765;74.78582940118197;104.14960973171877;75.82502782400917;91.56310626602688;79.5772637306123;86.24813396809573;75.65083066354039;69.00151221557883;92.4093737048952;78.66736713095496;85.85230365953272;76.17462641229403;84.67567925042412;79.5772637306123;75.82502782400917;82.18135245311242;73.76087341773129;72.08373436149837;85.26196178592542;69.79960987189996;78.84851031015829;83.13189313954281;85.85230365953272;77.58921383254534;78.84851031015829;88.86589365874443;72.91748216796745;69.16039834267852;86.44673297753417;81.05503922506719;79.76050208051753;88.05207673504692;79.03007059816505;83.3233165462957;79.5772637306123;86.44673297753417;83.90023551197255;78.12643067468917;70.76952148581977;71.91813228785453;64.10538825440628;93.90920587301264;86.44673297753417;93.69346289903146;75.13063666512456;97.87864749865372;69.79960987189996;73.42235259482725;85.65507026646488;83.3233165462957;83.13189313954281;88.4580493090837;75.13063666512456;82.56025748784099;79.03007059816505;87.24571259169099;78.84851031015829;70.12142769082233;73.42235259482725;87.24571259169099
100;84.28706562247159;77.4109637069535;80.86882686115663;91.14288323117634;91.14288323117634;89.68723224473376;84.67567925042412;93.04920325689164;103.43345101350522;83.70748671638003;94.34218330463797;94.99539535941216;92.19707638088428;98.78328601209519;95.65313016290338;100.3865687105195;92.19707638088428;100.84941064689724;90.51616201160321;90.30821407077885;94.77715702038213;86.44673297753417;80.49768453938279;87.84978967784696;96.31541902998988;96.53719944346616;92.4093737048952;82.18135245311242;85.45828998891848;103.67162174218069;99.46724763957785;97.2056094823455;81.05503922506719;95.87338555888753;80.86882686115663;96.75949053895263;101.78150629043697;81.05503922506719;96.53719944346616;78.30632826816861;83.70748671638003;98.55634553585797;94.77715702038213;102.25077972077757;89.68723224473376;78.84851031015829;95.21413622430518;80.68304229352877;99.92585095768132;101.08163124269969;84.48114898371028;95.87338555888753;88.86589365874443;74.61401965051199;72.91748216796745;82.37058710017779;74.27158336739988;99.69628560183793;98.32992642291843;103.43345101350522;79.94416236366476;92.4093737048952;100.3865687105195;85.45828998891848;106.57281074536908;88.4580493090837;81.05503922506719;96.75949053895263;86.24813396809573;102.9587497887163;85.06608461890904;100.1559449215093;96.31541902998988;91.77394378063636;107.06417494602071;74.27158336739988;82.18135245311242;89.48118865153393;101.5476778317758;88.6617369735164;90.51616201160321;90.51616201160321;88.6617369735164;104.62980153088488;88.25482958793816;109.05239126123435;99.46724763957785;100.3865687105195;92.62215987470853;99.01074905214578;100.3865687105195;91.14288323117634
150;115.50668655357624;101.78150629043697;107.3107059503725;106.57281074536908;127.22134208574965;75.82502782400917;100.84941064689724;98.32992642291843;96.31541902998988;73.76087341773129;99.46724763957785;100.84941064689724;101.5476778317758;97.65378530006194;111.07752939570332;98.32992642291843;87.24571259169099;105.35424361240754;105.5968372484542;117.651683036647;94.34218330463797;109.05239126123435;114.44889832406156;109.30350042597735;94.12544562691185;93.04920325689164;107.3107059503725;113.92364240658203;105.11220730055531;100.3865687105195;99.69628560183793;94.12544562691185;105.35424361240754;107.80547228788281;100.61772354471226;101.08163124269969;104.14960973171877;101.5476778317758;97.65378530006194;92.4093737048952;99.92585095768132;101.31438656056716;118.73907284398597;116.30643866255794;104.62980153088488;101.5476778317758;105.5968372484542;105.83998949201612;106.32797494975146;96.75949053895263;93.47821556368753;99.23873585928976;87.84978967784696;87.64796734623927;108.05371023835644;113.92364240658203;100.1559449215093;99.01074905214578;122.06191555248;100.3865687105195;107.80547228788281;97.2056094823455;96.09414812530488;98.10402747551902;96.31541902998988;105.83998949201612;94.12544562691185;93.69346289903146;98.78328601209519;92.4093737048952;108.80185898389541;100.84941064689724;94.12544562691185;110.56774616084073;89.07052044475715;95.21413622430518;105.5968372484542;109.80745473420666;96.98229349236969;103.67162174218069;103.67162174218069;85.65507026646488;97.87864749865372;104.62980153088488;98.10402747551902;102.01587317350378;101.5476778317758;96.09414812530488;101.5476778317758;95.65313016290338;97.2056094823455;120.66624401638853
200;157.92629242245135;159.019751937195;155.04701918906255;137.25334072422285;140.4467510041707;159.019751937195;152.9220662226185;126.92906924156685;133.21021182558732;153.27419176407454;148.4173771424014;144.37707024389624;166.12299047968008;168.81921700947953;156.48003352402927;130.78155608093476;168.81921700947953;171.1650713707123;157.92629242245135;143.05489254083338;145.37671684325215;155.7618783929666;141.4191846239604;147.73622505843724;144.0453845670817;128.39717898913622;163.0942770678616;129.28618306108862;157.56347934485905;153.62712812636244;142.3983512378432;152.9220662226185;166.50551309015668;144.70951967574905;147.39682220370585;153.9808771765164;158.65442679270308;153.62712812636244;160.489484056269;134.750971650153;165.3605796128513;132.59885205668874;171.1650713707123;136.30955248712056;124.90187393789093;131.99029808444726;153.27419176407454;114.44889832406156;156.84035180832117;147.73622505843724;140.77015029810312;140.77015029810312;159.019751937195;154.69082083006467;151.52163507434625;137.5693867214618;153.9808771765164;157.56347934485905;158.65442679270308;169.9880976073776;145.711468108377;155.40403774715355;166.88891651518585;138.84086491082343;146.72035389152555;155.04701918906255;134.44140055858222;152.5707496392494;150.47973448311032;158.65442679270308;161.97280010108508;149.78911734170106;159.019751937195;155.04701918906255;140.77015029810312;146.38328485555763;150.47973448311032;146.72035389152555;164.2235189839767;160.489484056269;141.4191846239604;;;;;;;;;;;
250;135.0612555746781;133.82439032753845;127.80790832738843;115.50668655357624;135.99640077891235;130.78155608093476;142.72624437825547;149.44499826045774;138.52189787423194;142.071211385041;122.90705514830907;112.62102492532209;133.82439032753845;128.39717898913622;149.1016697436037;120.94409578467344;139.48100408072568;116.57425133799784;126.92906924156685;120.66624401638853;156.1205430194796;134.1325406623339;143.3842974641264;136.30955248712056;133.51694792407994;157.2014997784399;143.71446089068743;121.78149575309698;126.05627327270784;111.58966303523249;127.51428793112879;128.6928323718675;148.75912997493032;146.38328485555763;144.70951967574905;133.51694792407994;120.11245398749564;122.62469376153705;128.39717898913622;131.687069245691;130.18134247263782;121.5017201781105;119.83651279733715;133.51694792407994;112.36229422235937;141.74482308927838;135.37225397356013;148.07640943814368;140.1240946738786;110.56774616084073;139.48100408072568;139.80217960037407;124.90187393789093;126.34653637584607;151.17353578131596;122.90705514830907;129.28618306108862;127.22134208574965;101.5476778317758;130.4811041541137;112.36229422235937;133.51694792407994;117.38139511592345;139.48100408072568;122.90705514830907;145.711468108377;136.9380207974764;106.57281074536908;131.687069245691;128.10220482778118;122.342981059681;126.92906924156685;101.31438656056716;140.77015029810312;136.9380207974764;130.18134247263782;119.28653076694064;130.78155608093476;135.99640077891235;156.84035180832117;117.11172814305381;129.88226945076727;148.75912997493032;120.11245398749564;140.1240946738786;145.711468108377;139.16056641591413;151.52163507434625;117.651683036647;137.25334072422285;127.80790832738843;145.0427346212984
300;157.56347934485905;133.82439032753845;151.17353578131596;139.48100408072568;137.8861604610773;170.3795201952986;157.2014997784399;155.04701918906255;180.46347821208073;149.44499826045774;180.87902190402875;153.62712812636244;136.30955248712056;134.1325406623339;185.08745082042088;144.70951967574905;146.04699018750796;135.0612555746781;127.80790832738843;157.56347934485905;138.20366361880318;161.97280010108508;125.47774604840528;122.342981059681;137.5693867214618;139.48100408072568;133.21021182558732;129.88226945076727;142.72624437825547;135.99640077891235;173.14483149362397;208.60206055226598;165.3605796128513;151.52163507434625;152.2202401555017;135.99640077891235;147.39682220370585;146.72035389152555;128.6928323718675;130.4811041541137;144.0453845670817;138.52189787423194;154.69082083006467;122.342981059681;152.9220662226185;147.05819907850767;166.50551309015668;180.04888917235328;138.20366361880318;172.74705599836088;205.7431241490039;148.4173771424014;148.07640943814368;140.77015029810312;127.80790832738843;187.2282424635478;132.9041804094259;164.2235189839767;127.80790832738843;130.18134247263782;165.74134666021052;148.75912997493032;145.711468108377;138.52189787423194;139.48100408072568;135.68396849198137;127.22134208574965;114.71243373975977;135.0612555746781;128.6928323718675;131.99029808444726;0.0;146.38328485555763;124.04301747004386;139.48100408072568;156.1205430194796;153.9808771765164;135.68396849198137;114.1859683433024;138.84086491082343;188.9586901481545;179.63525259166943;133.21021182558732;156.48003352402927;153.27419176407454;166.12299047968008;143.71446089068743;164.2235189839767;131.0826998424925;151.17353578131596;133.21021182558732;148.07640943814368
350;140.1240946738786;137.25334072422285;160.12078241236603;161.6006907506438;138.52189787423194;142.72624437825547;136.62342527317932;147.05819907850767;163.84623892869473;161.6006907506438;165.3605796128513;151.8705359171794;161.6006907506438;154.3354407858697;164.60166778205706;203.39063098337076;159.75292780777542;147.73622505843724;170.7718440912787;161.97280010108508;158.65442679270308;144.37707024389624;163.84623892869473;141.09429426645892;137.5693867214618;151.52163507434625;154.69082083006467;151.52163507434625;136.30955248712056;157.56347934485905;161.2294362682334;182.5507872345648;154.3354407858697;163.0942770678616;133.82439032753845;141.09429426645892;166.12299047968008;161.6006907506438;158.65442679270308;175.1474902728613;156.1205430194796;204.3283830621064;137.25334072422285;138.52189787423194;176.3601869479027;153.9808771765164;162.71959128443044;178.81082805990556;169.2079480779645;150.13402880772443;146.72035389152555;147.39682220370585;154.3354407858697;157.2014997784399;142.071211385041;137.8861604610773;150.47973448311032;136.9380207974764;121.5017201781105;166.88891651518585;180.46347821208073;184.66223886473054;150.47973448311032;138.84086491082343;153.9808771765164;169.5975742568894;153.9808771765164;172.74705599836088;169.9880976073776;127.22134208574965;160.489484056269;140.1240946738786;170.3795201952986;172.35019433542686;149.44499826045774;158.2899409304989;129.28618306108862;157.92629242245135;163.84623892869473;154.69082083006467;165.74134666021052;144.70951967574905;218.42187967716725;125.18947886683053;153.62712812636244;131.0826998424925;166.88891651518585;171.55920411377264;177.17331256296666;147.39682220370585;147.73622505843724;173.54352292544948
400;276.1732594861681;249.01880620114244;291.17615292023476;253.06045696699857;278.08544442808454;250.7429775143165;272.3882451720131;261.94339230832657;275.5387909079098;276.80918902161307;272.3882451720131;245.04170499434795;244.4787567115525;276.80918902161307;238.9199170137345;269.2737231785496;290.5072173393252;254.81261210362217;224.53428676337103;227.13133546963292;234.02511075636028;210.04639198313274;274.274223205303;229.23058549940114;229.7584226260572;216.42161371608097;242.7976597445259;280.6556352662915;221.96693304379488;231.88195337772558;249.59220861540658;249.59220861540658;276.1732594861681;283.90180477109226;264.97312891521335;222.99033295098835;210.04639198313274;311.2599516762814;209.0823974672399;256.57689891684043;268.0379086046006;258.94829809685814;273.6441173913884;269.2737231785496;285.21076136507946;312.6950456395597;334.2631043753249;242.7976597445259;281.9496250833612;278.725777050505;248.44672109694383;251.32035008653247;219.42893477463318;252.47908674801366;235.64546782369993;243.35673705438484;236.18807616008147;277.4465828783136;254.81261210362217;271.76247212298546;269.2737231785496;296.5833881427452;231.34923774277578;275.5387909079098;207.16766070490561;231.34923774277578;195.5915234516484;288.50961718568635;231.88195337772558;240.0214802850993;253.64316587639095;287.18552070336415;286.52575302941904;253.64316587639095;216.9199563019157;252.47908674801366;294.5440067217022;263.15110752834715;278.08544442808454;245.04170499434795;285.21076136507946;263.15110752834715;256.57689891684043;254.22721655872235;239.4700652508151;259.54456462613547;269.2737231785496;202.92337008812265;285.8675010773755;276.1732594861681;315.58511398926566;264.97312891521335
450;260.74121982026094;258.3534014046816;332.729025182434;287.18552070336415;314.86010231013057;269.8937655172144;288.50961718568635;331.20198654813083;307.7009656247064;301.3970265024886;289.1739529985368;301.3970265024886;306.28879167305405;319.23529109056983;359.79283969449995;300.0137840772717;294.5440067217022;349.1942719655453;311.2599516762814;293.19221579357423;319.23529109056983;284.5555304183761;314.13675624167104;342.040250112449;268.6551052985083;370.71308978460263;354.8618009295309;276.1732594861681;321.44563150400245;288.50961718568635;300.7046099258363;345.2015400495941;278.725777050505;322.9276875244099;306.994066649216;293.86733397819717;264.36439103562185;299.3245453023246;298.63688995492015;302.78664650003196;298.63688995492015;304.18267347431294;306.994066649216;295.2222376036896;296.5833881427452;341.25446154044994;280.6556352662915;322.18580733237013;297.95081439736;384.60945641884547;351.6120441636875;310.54487643917764;305.58513696531435;306.994066649216;274.274223205303;335.032794319519;297.95081439736;320.70715612377506;300.7046099258363;279.367584132936;299.3245453023246;278.08544442808454;283.2495809650177;280.01086907053855;323.67127600466995;294.5440067217022;281.9496250833612;331.96462781845474;263.7570516442754;251.8990521439864;291.8466288236721;328.1689018548046;299.3245453023246;283.90180477109226;302.78664650003196;268.6551052985083;300.0137840772717;289.1739529985368;295.2222376036896;310.54487643917764;357.3188143038935;357.3188143038935;331.96462781845474;319.23529109056983;344.4084888659446;320.70715612377506;316.3117951143896;261.34161481541787;303.4838572720161;257.1677049508413;301.3970265024886;328.9245590016707
500;414.93771329682374;310.54487643917764;394.46421267761235;317.7701810880355;325.16359357324677;325.16359357324677;375.0008979590133;335.80425658797634;0.0;339.6882959598702;328.9245590016707;335.80425658797634;363.9543401153048;349.99834311843045;410.1932624738291;373.27985526137724;419.73704023717846;362.2839948901666;361.4516992088564;351.6120441636875;398.11002847178173;331.96462781845474;336.57749526173416;342.82784807816876;338.90791066626997;416.85082355814023;339.6882959598702;338.1293181963075;365.6323866278597;297.95081439736;337.3525144312268;347.59166713154747;361.4516992088564;311.97667347925545;363.11820705465465;330.44109733708814;376.72987568964214;375.0008979590133;381.08727629145363;353.23318533291837;331.96462781845474;281.3018861310095;403.64202988183786;354.0465566776694;388.1641901202389;300.0137840772717;319.23529109056983;338.1293181963075;406.43679072472565;353.23318533291837;323.67127600466995;410.1932624738291;342.82784807816876;412.0844979880139;377.59735161863443;319.97037728515147;338.1293181963075;383.7258711816188;345.2015400495941;300.0137840772717;354.0465566776694;362.2839948901666;301.3970265024886;335.80425658797634;321.44563150400245;336.57749526173416;375.0008979590133;414.93771329682374;401.78954053643093;405.50306030765785;340.47047820534823;366.4743089566345;362.2839948901666;357.3188143038935;304.18267347431294;389.05799523938344;348.39204805117305;399.94555307269343;375.0008979590133;351.6120441636875;374.13938701108043;390.8517845698973;421.67227825724734;412.0844979880139;403.64202988183786;345.2015400495941;307.7009656247064;359.79283969449995;346.79312497265164;354.0465566776694;366.4743089566345;350.80426576336697
